train_step 486	train_loss 0.6889	CE_Loss 0.6889
train_step 487	train_loss 0.8411	CE_Loss 0.8411
train_step 488	train_loss 0.6801	CE_Loss 0.6801
train_step 489	train_loss 0.7301	CE_Loss 0.7301
train_step 490	train_loss 0.9829	CE_Loss 0.9829
train_step 491	train_loss 2.3808	CE_Loss 2.3808
train_step 492	train_loss 0.8625	CE_Loss 0.8625
train_step 493	train_loss 2.3634	CE_Loss 2.3634
train_step 494	train_loss 2.2797	CE_Loss 2.2797
train_step 495	train_loss 0.7505	CE_Loss 0.7505
train_step 496	train_loss 0.8626	CE_Loss 0.8626
train_step 497	train_loss 2.4539	CE_Loss 2.4539
train_step 498	train_loss 0.5439	CE_Loss 0.5439
train_step 499	train_loss 0.6408	CE_Loss 0.6408
